22
1456 4 32511 32191 32960 32537 ; Orcrish Forest
1451 4 32512 32537 32960 33023 ; Gludio
1461 4 32512 33023 32960 33535 ; Windawood
1448 4 32960 32191 33216 32511 ; Elven Forest
1454 4 32960 32511 33280 33023 ; Kent1
1454 4 33088 33023 33280 33087 ; Kent2
1458 4 32960 33023 33088 33087 ; Silver knight Town1
1458 4 32959 33087 33280 33535 ; Silver knight Town2
1447 4 33216 32191 33472 32511 ; Dragon Valley
1455 4 33472 32191 33856 32511 ; Lair of Valakas1
1455 4 33536 32511 33856 32575 ; Lair of Valakas2
1450 4 33280 32511 33536 33023 ; Giran1
1450 4 33536 32575 33920 33023 ; Giran2
1452 4 33280 33023 33792 33535 ; Heine
1457 4 33856 32191 33920 32575 ; Oren1
1457 4 33920 32127 34304 32739 ; Oren2
1446 4 33920 32739 34304 33023 ; Aden1
1446 4 33792 33023 34304 33535 ; Aden2
1449 70 0 0 0 0 ; Forgotten island	
1453 69 0 0	0 0 ; Hidden valley
1459 68 0 0 0 0 ; singing island
1460 0 0 0 0 0 ; Talking island
